hora;ultrasonido;rojo;verde;azul;habitat
12:10:57 a. m.;0;12;104;104;habitat 1
12:10:57 a. m.;514;12;104;104;habitat 1
12:10:57 a. m.;519;63;102;102;habitat 1
12:10:57 a. m.;514;12;104;98;habitat 1
12:10:57 a. m.;520;40;104;104;habitat 1
12:10:57 a. m.;520;66;102;102;habitat 1
12:10:58 a. m.;513;12;97;104;habitat 1
12:10:58 a. m.;519;152;102;102;habitat 1
12:10:58 a. m.;514;34;104;104;habitat 1
12:10:58 a. m.;514;64;96;102;habitat 1
12:10:58 a. m.;520;63;102;102;habitat 1
12:11:00 a. m.;514;64;101;95;habitat 1
12:11:00 a. m.;496;59;88;88;habitat 1
12:11:00 a. m.;490;34;88;82;habitat 1
12:11:00 a. m.;496;34;88;89;habitat 1
12:11:01 a. m.;490;11;89;90;habitat 1
12:11:01 a. m.;496;10;90;89;habitat 1
12:11:01 a. m.;490;35;84;89;habitat 1
12:11:01 a. m.;495;11;90;90;habitat 1
12:11:01 a. m.;490;10;90;90;habitat 1
12:11:01 a. m.;496;11;89;90;habitat 1
12:11:01 a. m.;489;36;90;89;habitat 1
12:11:03 a. m.;517;35;89;90;habitat 1
12:11:03 a. m.;547;31;79;79;habitat 1
12:11:04 a. m.;540;9;79;79;habitat 1
12:11:04 a. m.;546;59;79;78;habitat 1
12:11:04 a. m.;540;32;80;80;habitat 1
12:11:04 a. m.;547;10;79;80;habitat 1
12:11:04 a. m.;540;55;79;78;habitat 1
12:11:04 a. m.;547;31;80;80;habitat 1
12:11:04 a. m.;540;30;72;78;habitat 1
12:11:04 a. m.;546;9;80;80;habitat 1
12:11:05 a. m.;547;54;79;78;habitat 1
12:11:07 a. m.;513;54;79;79;habitat 1
12:11:07 a. m.;568;113;69;69;habitat 1
12:11:07 a. m.;561;28;70;70;habitat 1
12:11:07 a. m.;568;51;70;70;habitat 1
12:11:07 a. m.;561;8;71;70;habitat 1
12:11:07 a. m.;568;28;71;71;habitat 1
12:11:07 a. m.;561;27;69;69;habitat 1
12:11:07 a. m.;568;50;71;71;habitat 1
12:11:08 a. m.;562;8;71;64;habitat 1
12:11:08 a. m.;568;28;71;71;habitat 1
12:11:08 a. m.;562;28;63;70;habitat 1
12:11:10 a. m.;535;28;71;71;habitat 1
12:11:10 a. m.;541;46;66;65;habitat 1
12:11:10 a. m.;535;8;65;65;habitat 1
12:11:10 a. m.;541;26;65;65;habitat 1
12:11:10 a. m.;535;25;64;64;habitat 1
12:11:10 a. m.;534;8;65;65;habitat 1
12:11:11 a. m.;541;45;65;65;habitat 3
12:11:11 a. m.;534;25;64;64;habitat 3
12:11:11 a. m.;540;26;65;66;habitat 3
12:11:11 a. m.;534;8;59;65;habitat 3
12:11:11 a. m.;535;50;65;65;habitat 3
9:55:52 p. m.;1466;28;29;55;habitat 3
9:55:52 p. m.;1467;28;36;56;habitat 3
9:55:53 p. m.;1472;27;36;56;habitat 3
9:55:53 p. m.;1472;27;36;57;habitat 3
9:55:53 p. m.;1467;27;35;55;habitat 3
9:55:54 p. m.;1472;27;36;55;habitat 3
9:55:54 p. m.;1496;24;31;49;habitat 3
9:55:55 p. m.;1490;24;31;43;habitat 3
9:55:55 p. m.;1497;24;32;50;habitat 3
9:55:55 p. m.;1496;24;31;49;habitat 3
9:55:55 p. m.;1490;24;25;50;habitat 3
9:55:55 p. m.;1490;24;32;51;habitat 3
9:55:55 p. m.;1496;24;32;50;habitat 3
